  satno     inc       ra       ecc      aop       ma      rpd   period periapsis       mass        xsa incenhance        flux
5 34.2466  67.3229 0.1846730  65.1013 312.9952 10.84738 7965.057  662027.1   44.66901  0.7868361  0.9084932 0.001064432
11 32.8733 239.0808 0.1470143 314.4202  34.4856 11.85242 7289.653  564815.1 3410.05919 14.1597188  0.9057466 0.012349346
12 32.8986 131.3788 0.1667683  30.4851 338.2873 11.43976 7552.607  566158.1  132.99829  1.6284611  0.9057972 0.001432361
16 34.2643  48.6367 0.2028181  38.5443 334.3834 10.48649 8239.171  662383.6  798.97128  5.3814684  0.9085286 0.007288287
20 33.3441  60.5447 0.1669622 150.8435 219.6721 11.55142 7479.603  519778.1 1797.12884  9.2384581  0.9066882 0.006084752
22 50.2850 322.3737 0.0144591 336.6342  22.8077 14.93230 5786.115  498902.6  488.03186  3.8741712  0.9708550 0.002270434
29 48.3785 220.2718 0.0024533 298.5455  61.2988 14.74006 5861.576  642918.3  715.69267  5.0007030  0.9618925 0.006821582
45 66.6926 233.3484 0.0252974  26.6417 334.7424 14.33458 6027.383  610935.5  585.84373  4.3759049  1.0669260 0.005975058
46 66.6919   3.2508 0.0217151 232.3858 125.7366 14.48807 5963.528  587015.6  481.66584  3.8404069  1.0669190 0.004564124
47 66.6651  67.5471 0.0226153  19.5353 341.4242 14.41777 5992.605  603191.2 1737.85567  9.0341886  1.0666510 0.011855050
