satno     inc       ra        ecc       aop       ma         rpd
         5   34.2466   67.3229 0.1846730   65.1013   312.9952 10.84737993
        11   32.8733  239.0808 0.1470143  314.4202    34.4856 11.85241676
        12   32.8986  131.3788 0.1667683   30.4851   338.2873   11.439758
        16   34.2643   48.6367 0.2028181   38.5443   334.3834  10.4864922
        20   33.3441   60.5447 0.1669622  150.8435   219.6721 11.55141565
        22    50.285  322.3737 0.0144591  336.6342    22.8077 14.93229828
        29   48.3785  220.2718 0.0024533  298.5455    61.2988 14.74006316
        45   66.6926  233.3484 0.0252974   26.6417   334.7424 14.33458028
        46   66.6919    3.2508 0.0217151  232.3858   125.7366 14.48806808
        47   66.6651   67.5471 0.0226153   19.5353   341.4242 14.41776947
        50    47.234  355.9518 0.0114291  286.5314    72.2946 12.20095404
        51   47.2102   206.684 0.0107383  134.2222   226.7444 12.18264867
        53   47.2757   102.922 0.0097048   82.1005   279.0786 12.17181299
        58    28.327  208.4378 0.0165101  278.8324     79.356 13.46300536
        59   28.2499   74.2372 0.0189184  312.2815    46.1831 13.52934861
        82   38.8552  300.3778 0.1167804    2.4025   358.1681 12.25740242
        85   38.7745  150.1672 0.0412355   65.6914   298.6319 14.14855934
       107   28.7877  116.4724 0.0551929   27.3478   335.5062 14.07668507
       115   48.1676  324.9018 0.0034644  113.0062    247.451 14.82629134
       116   66.8101  117.5484 0.0072010   33.8202   326.7439 13.91675044
       117   66.8112  202.2731 0.0072426   53.7984   306.9762  13.8978555
       118   66.7637  101.1326 0.0078336   43.8017   316.9244 14.01488401
       119    66.728   76.0558 0.0098453  107.7802   253.4065 14.22725442
       120   66.7067    161.86 0.0120566  207.9895   151.4684 14.24666325
       121   66.7471   57.0621 0.0087439  122.0739   238.8872 13.99596169
       122   66.7537  324.7096 0.0080380  293.9433    65.3281 14.67491981
       123   66.6864  355.2343 0.0111662  147.7729   213.0262 14.36551097
       124   66.5433  124.4725 0.0081725  229.4363   129.9601 14.29751838
       125   66.8783  350.6212 0.0080834  301.5129    57.8079 14.05145215
       126   66.7142     7.925 0.0064420  156.6959   203.7086 14.35305718
       127   66.8299  215.9955 0.0074278    5.8376   354.3575 14.37716106
       128   66.6731  245.9571 0.0092149   20.8498   339.6304  14.0104253
       130    66.769  243.2898 0.0080593   54.8194   306.0403 13.98577663
       131   66.7359  140.8602 0.0081365  184.3061   175.7332 14.00488946
       132   66.6606  295.7759 0.0079239  219.5171   140.0115 13.94234567
       133   67.1169    32.478 0.0061273  264.4389    94.9715 14.17461554
       134   66.8822  327.8408 0.0079278   28.5389   331.9998 13.96656132
       136   67.5303  179.0581 0.0052758  213.8527   145.9208 14.32544296
       138   67.1566  357.5755 0.0032167  201.2317   158.7437 14.01120708
       141   66.5889   282.964 0.0058602  343.3624    16.5526 13.86415094
       144   66.5021  347.2746 0.0049268  251.7579   107.8132 13.89756608
       145   66.9284  358.1311 0.0065034  199.2354   160.6276    14.00984
       147   66.6197   25.3697 0.0055496  189.5326   170.4717 14.18341862
       148   65.7747  253.0574 0.0140341   75.3866   286.2725 14.04858068
       150   66.2469  182.3627 0.0071291  282.6757    76.6348 13.80712451
       152   66.5939  192.1036 0.0160549  239.3633   119.1542 14.08872659
       154   66.6582  281.2979 0.0077680   82.4217   278.5683 14.04145273
       155   66.8804  172.8687 0.0053468  299.7193    59.8596 14.37948252
       158   67.0747   16.4996 0.0611517   12.6043    348.951 12.65012414
       159   65.5255  289.1234 0.0367637  156.6986   205.1191 13.01810751
       162   47.8984  226.2872 0.0045330  252.1994    107.395 14.43909063
       163   91.1749   36.9251 0.0099785  337.7226     21.933 8.918329198
       167   47.8454   59.9449 0.0091630  153.5246   207.0359 14.22552752
       172   67.0688  148.6075 0.0137830  224.4662   134.5273  13.5701888
       177   66.6647   112.507 0.0121755  208.9221   150.5086 14.13277639
       178   66.8637  217.6197 0.0078397  170.4138   189.8461  13.9223274
       188    91.175   39.4354 0.0111665  213.6302   145.7447 8.937955028
       192   95.8491  149.7262 0.0139822   61.6602   299.8274 8.677585837
       194   95.8336  169.1387 0.0358111  305.2073    51.5743 8.700248657
       195   95.8613  133.9321 0.0164463  134.2598   227.1882 8.656150697
       196   91.1782   35.2592 0.0113020  109.6183   251.6927 8.896759678
       202   32.4372  180.9721 0.0101489  353.4731     6.4567 13.63482468
